# Photometry of EPIC-245950175
# 
# Description
# 
#     This photometry was produced by Erik Petigura using the `k2phot`
#     code. We used a stationary 36.0 pixel aperture to
#     construct simple aperture photometry from the K2 target pixel
#     file. We then modeled time- and position-dependent photometric
#     variability. The size and shape of the aperture was chosen to
#     minimize noise on three-hour timescales.
# 
# Attribution
# 
#     If you use this photometry, please cite
# 
#     1. Petigura et al. 2015, ApJ, 811, 102
#     2. Aigrain et al. 2016, MNRAS, 459, 2408
# 
# Code Availability
# 
#     Public URL: https://github.com/petigura/k2phot
#     Version: v1.0
#     Git SHA: 0e63443fee2083618488daec2635a9d1af284731
# 
# Column Description
# 
#     t (float): Time [BJD_TDB]
#     cad (int): Unique cadence number
#     fbg (float): Background flux [e-/s/pixel]
#     fsap (float): Simple aperture photometry [e-/s]
#     fdt_t_rollmed (float): Flux after removing variability associated with
#          pixel position [e-/s]
#     fdt_t_roll_2D (float): Flux after removing variability associated with
#          pixel position and time [e-/s]
#     bgmask (bool): Outlier in background flux
#     thrustermask (bool): Thruster fire
#     fdtmask (bool): Observation excluded from Gaussian process model
#     fmask (bool): Observation ignored in transit search
#
t,cad,fsap,fbg,fdt_t_rollmed,fdt_t_roll_2D,bgmask,thrustermask,fdtmask,fmask
2457741.543833,137010,169520.381561,263.703918,169588.862690,169139.641129,False,False,False,False
2457741.564265,137011,169477.738007,263.703918,169597.979044,169142.745515,False,False,False,False
2457741.584698,137012,169433.564087,262.476807,169614.851098,169153.598271,False,False,False,False
2457741.605130,137013,169401.475891,262.476807,169638.761320,169171.483097,False,False,False,False
2457741.625562,137014,169332.267151,264.317444,169621.149666,169147.841275,False,False,False,False
2457741.645995,137015,169264.778625,264.317444,169596.633186,169117.291236,False,False,False,False
2457741.666427,137016,169273.180695,263.090363,169634.422004,169149.044438,False,False,False,False
2457741.686860,137017,169251.217804,263.703918,169629.324951,169137.910955,False,False,False,False
2457741.707292,137018,169291.649506,262.476807,169673.600597,169176.150779,False,False,False,False
2457741.727724,137019,169260.665497,263.090363,169637.851018,169134.367324,False,False,False,False
2457741.748157,137020,169313.553741,261.863251,169678.543097,169169.028720,False,False,False,False
2457741.768589,137021,169330.610596,261.863251,169677.794397,169162.253959,False,False,False,False
2457741.789021,137022,169262.073456,263.090363,169594.771768,169073.211229,False,False,False,False
2457741.809454,137023,169345.889191,261.863251,169670.029746,169142.456319,False,False,False,False
2457741.829886,137024,169426.200134,261.249695,169752.995200,169219.417525,False,False,False,False
2457741.850318,137025,169337.422638,261.863251,169680.976005,169141.404062,False,False,False,False
2457741.870751,137026,169308.889801,261.249695,169691.049402,169145.494421,False,False,False,False
2457741.891183,137027,169297.296570,260.022614,169747.032066,169195.506733,False,False,False,False
2457741.911616,137028,169200.537842,260.022614,169743.414028,169185.932275,False,False,False,False
2457741.932048,137029,169098.381500,258.795502,169762.137783,169198.714879,False,False,False,False
2457741.952480,137030,168910.389496,260.022614,169727.241967,169157.894600,False,False,False,False
2457741.972913,137031,168687.669220,259.409058,169731.239730,169155.985830,False,False,False,False
2457741.993345,137032,169531.426605,264.931000,169689.438408,169108.297232,False,True,True,True
2457742.013777,137033,169712.609802,263.703918,169740.067530,169153.059717,False,True,True,True
2457742.034210,137034,169684.569824,264.317444,169758.334218,169165.481699,False,False,False,False
2457742.054642,137035,169581.186188,264.931000,169708.218754,169109.544774,False,False,False,False
2457742.075075,137036,169588.609070,263.703918,169771.629946,169167.159063,False,False,False,False
2457742.095507,137037,169567.993927,264.931000,169792.777188,169182.535269,False,False,False,False
2457742.115939,137038,169538.853638,264.317444,169801.654308,169185.668521,False,False,False,False
2457742.136372,137039,169474.547821,263.703918,169779.777520,169158.076330,False,False,False,False
2457742.156804,137040,169426.875916,263.703918,169766.495731,169139.108867,False,False,False,False
2457742.177236,137041,169458.167694,263.090363,169823.312245,169190.270806,False,False,False,False
2457742.197669,137042,169420.619965,263.703918,169800.486582,169161.822862,False,False,False,False
2457742.218101,137043,169421.844025,263.703918,169803.956800,169159.704368,False,False,False,False
2457742.238533,137044,132307.884949,289.473022,132101.120068,131451.313839,True,True,True,True
2457742.258966,137045,169421.600159,264.317444,169771.589343,169116.265409,False,True,True,True
2457742.279398,137046,169445.038788,264.317444,169810.394523,169149.590229,False,False,False,False
2457742.299830,137047,169451.357178,263.703918,169828.081461,169161.835473,False,False,False,False
2457742.320263,137048,169451.358185,263.703918,169833.614196,169161.966337,False,False,False,False
2457742.340695,137049,169440.618713,264.317444,169822.363656,169145.354974,False,False,False,False
2457742.361128,137050,169497.802338,263.090363,169875.696963,169193.369803,False,False,False,False
2457742.381560,137051,169461.666016,263.703918,169831.911764,169144.309602,False,False,False,False
